DATE,SHIFT,ROUTE,TOTAL
24,IN 10PM,Binan,0
24,IN 10PM,Carmona,0
24,IN 10PM,Balibago,32
24,IN 10PM,Tagapo,85
24,IN 10PM,Cabuyao,37
24,IN 10PM,Calamba,280
25,OUT 4AM,Alabang,0
25,OUT 4AM,Binan,0
25,OUT 4AM,Carmona,0
25,OUT 4AM,Balibago,13
25,OUT 4AM,Tagapo,26
25,OUT 4AM,Cabuyao,16
25,OUT 4AM,Calamba,106
25,IN 7AM,Alabang,217
25,IN 7AM,Binan,0
25,IN 7AM,Carmona,0
25,IN 7AM,Balibago,9
25,IN 7AM,Tagapo,21
25,IN 7AM,Cabuyao,9
25,IN 7AM,Calamba,86
25,OUT 7AM,Alabang,180
25,OUT 7AM,Binan,0
25,OUT 7AM,Carmona,0
25,OUT 7AM,Balibago,4
25,OUT 7AM,Tagapo,6
25,OUT 7AM,Cabuyao,4
25,OUT 7AM,Calamba,31
25,OUT 4PM,Alabang,56
25,OUT 4PM,Binan,0
25,OUT 4PM,Carmona,0
25,OUT 4PM,Balibago,0
25,OUT 4PM,Tagapo,0
25,OUT 4PM,Cabuyao,0
25,OUT 4PM,Calamba,0
25,OUT 6PM,Alabang,0
25,OUT 6PM,Binan,0
25,OUT 6PM,Carmona,0
25,OUT 6PM,Balibago,6
25,OUT 6PM,Tagapo,15
25,OUT 6PM,Cabuyao,7
25,OUT 6PM,Calamba,74
25,IN 7PM,Alabang,148
25,IN 7PM,Binan,0
25,IN 7PM,Carmona,0
25,IN 7PM,Balibago,7
25,IN 7PM,Tagapo,13
25,IN 7PM,Cabuyao,9
25,IN 7PM,Calamba,72
25,OUT 7PM,Alabang,140
25,OUT 7PM,Binan,0
25,OUT 7PM,Carmona,0
25,OUT 7PM,Balibago,0
25,OUT 7PM,Tagapo,0
25,OUT 7PM,Cabuyao,0
25,OUT 7PM,Calamba,0
25,IN 10PM,Alabang,0
25,IN 10PM,Binan,0
25,IN 10PM,Carmona,0
25,IN 10PM,Balibago,19
25,IN 10PM,Tagapo,41
25,IN 10PM,Cabuyao,23
25,IN 10PM,Calamba,180
26,OUT 4AM,Alabang,0
26,OUT 4AM,Binan,0
26,OUT 4AM,Carmona,0
26,OUT 4AM,Balibago,27
26,OUT 4AM,Tagapo,93
26,OUT 4AM,Cabuyao,44
26,OUT 4AM,Calamba,321
26,IN 7AM,Alabang,669
26,IN 7AM,Binan,0
26,IN 7AM,Carmona,0
26,IN 7AM,Balibago,6
26,IN 7AM,Tagapo,15
26,IN 7AM,Cabuyao,7
26,IN 7AM,Calamba,74
26,OUT 7AM,Alabang,148
26,OUT 7AM,Binan,0
26,OUT 7AM,Carmona,0
26,OUT 7AM,Balibago,0
26,OUT 7AM,Tagapo,25
26,OUT 7AM,Cabuyao,2
26,OUT 7AM,Calamba,77
26,OUT 4PM,Alabang,132
26,OUT 4PM,Binan,0
26,OUT 4PM,Carmona,0
26,OUT 4PM,Balibago,12
26,OUT 4PM,Tagapo,22
26,OUT 4PM,Cabuyao,8
26,OUT 4PM,Calamba,51
26,OUT 6PM,Alabang,159
26,OUT 6PM,Binan,0
26,OUT 6PM,Carmona,0
26,OUT 6PM,Balibago,7
26,OUT 6PM,Tagapo,18
26,OUT 6PM,Cabuyao,9
26,OUT 6PM,Calamba,86
26,IN 7PM,Alabang,173
26,IN 7PM,Binan,0
26,IN 7PM,Carmona,0
26,IN 7PM,Balibago,16
26,IN 7PM,Tagapo,47
26,IN 7PM,Cabuyao,27
26,IN 7PM,Calamba,173
26,OUT 7PM,Alabang,349
26,OUT 7PM,Binan,0
26,OUT 7PM,Carmona,0
26,OUT 7PM,Balibago,0
26,OUT 7PM,Tagapo,0
26,OUT 7PM,Cabuyao,0
26,OUT 7PM,Calamba,0
26,IN 10PM,Alabang,0
26,IN 10PM,Binan,0
26,IN 10PM,Carmona,0
26,IN 10PM,Balibago,34
26,IN 10PM,Tagapo,111
26,IN 10PM,Cabuyao,53
26,IN 10PM,Calamba,407
27,OUT 4AM,Alabang,0
27,OUT 4AM,Binan,0
27,OUT 4AM,Carmona,0
27,OUT 4AM,Balibago,27
27,OUT 4AM,Tagapo,93
27,OUT 4AM,Cabuyao,44
27,OUT 4AM,Calamba,321
27,IN 7AM,Alabang,669
27,IN 7AM,Binan,0
27,IN 7AM,Carmona,0
27,IN 7AM,Balibago,7
27,IN 7AM,Tagapo,18
27,IN 7AM,Cabuyao,9
27,IN 7AM,Calamba,86
27,OUT 7AM,Alabang,173
27,OUT 7AM,Binan,0
27,OUT 7AM,Carmona,0
27,OUT 7AM,Balibago,0
27,OUT 7AM,Tagapo,30
27,OUT 7AM,Cabuyao,10
27,OUT 7AM,Calamba,86
27,OUT 4PM,Alabang,160
27,OUT 4PM,Binan,0
27,OUT 4PM,Carmona,0
27,OUT 4PM,Balibago,11
27,OUT 4PM,Tagapo,18
27,OUT 4PM,Cabuyao,10
27,OUT 4PM,Calamba,57
27,OUT 6PM,Alabang,158
27,OUT 6PM,Binan,0
27,OUT 6PM,Carmona,0
27,OUT 6PM,Balibago,5
27,OUT 6PM,Tagapo,22
27,OUT 6PM,Cabuyao,8
27,OUT 6PM,Calamba,91
27,IN 7PM,Alabang,170
27,IN 7PM,Binan,0
27,IN 7PM,Carmona,0
27,IN 7PM,Balibago,14
27,IN 7PM,Tagapo,41
27,IN 7PM,Cabuyao,21
27,IN 7PM,Calamba,141
27,OUT 7PM,Alabang,293
27,OUT 7PM,Binan,0
27,OUT 7PM,Carmona,0
27,OUT 7PM,Balibago,0
27,OUT 7PM,Tagapo,0
27,OUT 7PM,Cabuyao,0
27,OUT 7PM,Calamba,0
